A;Мотоциклы, мопеды и легкие квадрициклы (транспортные средства категории «А», «М»)
B;Транспортные средства категории «B», «BE»
C15;Транспортные средства категорий «С» и «СЕ» с разрешенной максимальной массой 16 тонн и менее
C16;Транспортные средства категорий «С» и «СЕ» с разрешенной максимальной массой более 16 тонн
D15;Транспортные средства категорий «D» и «DЕ» с числом пассажирских мест до 16 включительно
D16;Транспортные средства категорий «D» и «DЕ» с числом пассажирских мест более 16
TB;Троллейбусы (транспортные средства категории «Tb»)
TM;Трамваи (транспортные средства категории «Tm»)
T;Тракторы, самоходные дорожно-строительные и иные машины, за исключением транспортных средств, не имеющих колесных движителей
